Risk Factor,Early Completion Dates,Project Result,Actual duration
1.4,"[0, 13, 20, 20, 17, 25, 32, 33, 33, 43, 50, 48]",Failed,432
1.0,"[0, 10, 14, 17, 14, 19, 25, 26, 23, 33, 40, 37]",Successful,367
1.2,"[0, 11, 18, 18, 15, 22, 30, 33, 29, 42, 48, 47]",Successful,374
1.2,"[0, 9, 16, 14, 14, 21, 27, 31, 27, 40, 46, 43]",Acceptable,400
0.8,"[0, 8, 15, 13, 11, 19, 25, 25, 27, 39, 44, 44]",Successful,343
1.0,"[0, 12, 18, 17, 16, 22, 28, 30, 27, 37, 44, 41]",Successful,356
1.0,"[0, 9, 18, 17, 12, 21, 26, 32, 25, 40, 46, 45]",Successful,379
1.0,"[0, 13, 20, 19, 18, 24, 31, 32, 29, 40, 46, 45]",Successful,379
1.2,"[0, 10, 17, 15, 14, 22, 29, 32, 31, 41, 48, 45]",Acceptable,399
1.2,"[0, 10, 17, 15, 14, 21, 29, 29, 29, 40, 47, 43]",Acceptable,397
0.8,"[0, 13, 17, 18, 18, 22, 28, 27, 27, 34, 40, 37]",Successful,357
0.8,"[0, 17, 21, 21, 21, 25, 31, 32, 31, 39, 43, 44]",Successful,346
1.4,"[0, 10, 18, 18, 15, 20, 26, 30, 24, 40, 49, 44]",Failed,430
0.8,"[0, 12, 16, 17, 15, 20, 26, 28, 26, 36, 44, 39]",Successful,351
1.2,"[0, 12, 17, 19, 16, 23, 30, 33, 28, 38, 43, 43]",Acceptable,396
0.8,"[0, 10, 15, 16, 13, 19, 23, 29, 24, 37, 40, 41]",Successful,381
1.0,"[0, 14, 19, 20, 17, 23, 29, 30, 29, 37, 42, 41]",Successful,353
1.0,"[0, 13, 19, 18, 16, 23, 29, 30, 29, 36, 44, 40]",Acceptable,395
1.0,"[0, 13, 20, 18, 16, 24, 32, 32, 30, 41, 49, 46]",Successful,375
1.2,"[0, 15, 21, 22, 19, 27, 34, 33, 34, 44, 51, 49]",Successful,389
1.2,"[0, 14, 19, 21, 18, 25, 32, 35, 30, 45, 50, 50]",Successful,381
0.8,"[0, 10, 15, 14, 13, 18, 23, 24, 23, 32, 36, 36]",Successful,360
1.0,"[0, 11, 18, 18, 14, 23, 31, 31, 30, 41, 49, 45]",Successful,365
